新北投溫泉區,北投區,121.508447,25.137077,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002891.jpg
大稻埕碼頭,大同區,121.508274,25.056847,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D906/E6/F186/809f30db-7079-421f-a625-7baa8ec21874.JPG
士林官邸,士林區,121.530849,25.091713,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D7/E691/F391/db1eba17-f937-466a-a3be-f2ef35c88971.JPG
國立故宮博物院,士林區,121.5496,25.1013,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000721.jpg
北投圖書館,北投區,121.506343,25.136571,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D975/E0/F413/b7c25472-02a3-4a02-ac57-8d3f6e8ce31b.jpg
陽明山溫泉區,北投區,121.547742,25.15579,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000987.jpg
關渡、金色水岸、八里左岸自行車道,北投區,121.465255,25.124904,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D8/E522/F82/a484053b-bdb9-4c1f-87c3-12408399e743.jpg
大安森林公園,大安區,121.5362,25.0296,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D31/E337/F270/85f03be7-cd0c-4bde-812f-7b7f603d7281.jpg
地熱谷,北投區,121.511592,25.137940,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D457/E341/F171/f6dc25a6-cc44-4e4d-a7ea-aea011e2aa65.jpg
南港山系-象山親山步道,信義區,121.571970,25.023757,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C2/D74/E860/F223/f28f9ff0-a457-4687-8630-bb5bfb793d46.jpg
艋舺龍山寺,萬華區,121.499962,25.036798,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D980/E373/F435/525bd753-2dbf-4869-9705-021731d78fa6.jpg
行天宮,中山區,121.533838,25.063059,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D738/E481/F193/d429a5f5-50be-47f3-9414-3b80c9c90c01.jpg
梅庭,北投區,121.508682,25.137025,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D670/E788/F892/a8db3cfc-d3ce-416c-98db-767282a0de39.JPG
中正紀念堂,中正區,121.52194,25.03471,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D955/E18/F665/d3d2803e-1486-4755-bf40-84fe3bbaf915.JPG
